creator_id,name,channel_url,follower_count,description
UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,https://www.youtube.com/channel/UCPD_bxCRGpmmeQcbe2kpPaA,15300000,
UC-b3c7kxa5vU-bnmaROgvog,The Futur,https://www.youtube.com/channel/UC-b3c7kxa5vU-bnmaROgvog,2780000,
UCamLstJyCa-t5gfZegxsFMw,Colin and Samir,https://www.youtube.com/channel/UCamLstJyCa-t5gfZegxsFMw,1620000,
UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,https://www.youtube.com/channel/UCGq-a57w-aPwyi3pW7XLiHw,,
UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris,https://www.youtube.com/channel/UCmGSJVG3mCRXVOP4yZrU1Dw,7600000,
UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion,https://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A,5180000,
UCLXo7UDZvByw2ixzpQCufnA,Vox,https://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA,12700000,
UCDsElQQt_gCZ9LgnW-7v-cQ,Kirsten Dirksen,https://www.youtube.com/channel/UCDsElQQt_gCZ9LgnW-7v-cQ,2100000,
UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,8200000,
UCk2U-Oqn7RXf-ydPqfSxG5g,Mel Robbins,https://www.youtube.com/channel/UCk2U-Oqn7RXf-ydPqfSxG5g,5400000,
UCBv7HEHuVlNAELGi5XJd85Q,Apple Music,https://www.youtube.com/channel/UCBv7HEHuVlNAELGi5XJd85Q,1550000,
