video_id,category,notes
j9Qm6_lEdcQ, interview
5DDB_DNWGYE, interview
d5uhih_I7Jw, interview
Ed9OqOQAfBs, interview
sO4te2QNsHY, interview
y7rvDA3MARk, interview
d18ud-4epP8, interview
BFU1OCkhBwo, interview
fpETS6q1Hww, interview
Xm_PHZXGe-w, interview
WcHWQnoE95w, commentary
WYQxG4KEzvo, commentary
jITKnb0tYaM, commentary
_Ux13UEqIYo, commentary
shB7wRZ2h5Y, commentary
ntPGl8UyIq4, commentary
TBDWomgRgWU, creative
8A1Aj1_EF9Y, creative
QpKypvDjiPM, creative
j4KlMiMgVLM, creative
dG2b_Klf5R4, creative
LPUMrjwJgGs, creative
wjZofJX0v4M, educational
IQqtsm-bBRU, educational
BHdbsHFs2P0, educational
RRHU-fvsNo0, interview
AjwaE0WozfE, interview
XhBp6GZzH6k, interview
LB01v___wO4, creative
jV_RuCyRCjs, creative
